,ANHEUSER-BUSCH INBEV SA/NV,KONINKLIJKE AHOLD DELHAIZE N,ADIDAS AG,AIR LIQUIDE SA,AIRBUS SE,ALLIANZ SE-REG,ASML HOLDING NV,BASF SE,BAYER AG-REG,BANCO BILBAO VIZCAYA ARGENTA,BAYERISCHE MOTOREN WERKE AG,DANONE,BNP PARIBAS,CRH PLC,AXA SA,DEUTSCHE BOERSE AG,VINCI SA,DEUTSCHE POST AG-REG,DEUTSCHE TELEKOM AG-REG,ESSILORLUXOTTICA,ENEL SPA,ENGIE,ENI SPA,FRESENIUS SE & CO KGAA,SOCIETE GENERALE SA,IBERDROLA SA,ING GROEP NV,INTESA SANPAOLO,INDUSTRIA DE DISENO TEXTIL,KERING,LVMH MOET HENNESSY LOUIS VUI,MUENCHENER RUECKVER AG-REG,NOKIA OYJ,L'OREAL,ORANGE,KONINKLIJKE PHILIPS NV,SAFRAN SA,SANOFI,BANCO SANTANDER SA,SAP SE,SIEMENS AG-REG,SCHNEIDER ELECTRIC SE,TELEFONICA SA,TOTALENERGIES SE,VIVENDI SE,VOLKSWAGEN AG-PREF
31/07/2008,-0.002184130850587167,0.0018080818881112488,0.001645774041064762,0.002766863647992514,-0.0013575090567618459,-0.002005044346332651,0.001535054640804268,0.0018745271182446855,0.0015852320784577652,-0.002122461894967789,-0.0017024474472179406,0.002154425008050484,0.0020681251939728682,-0.0016315369416821446,-0.00191217116816286,0.0011104260134775985,-0.001828472568757754,-0.0016944694885262137,0.00164810389560193,-0.0024895638464446377,-0.00291679876605286,0.0018614821987820935,0.0018225623178703527,0.0017058691797682568,-0.0014239210164999241,0.0019122698781704965,-0.0017333941136358933,-0.002124426234651583,-0.0018264828627489427,-0.0020890615319934043,0.0024795958279577378,0.0022905543007256347,-0.0016118387094759617,0.002356125824536774,0.0017621610912197238,-0.0020764424581833692,-0.001236712773796853,-0.0020117479528635237,0.002013642734919611,-0.001992659110565121,-0.0014518465361890722,0.00192822548147609,0.0020798175578108937,0.0018763112944920344,-0.0020551211934677033,0.001193029656057399
29/08/2008,-0.00128843407152137,-0.000986826480324063,0.0010877505479236925,0.001816773315931971,-0.0007448090850989633,-0.0059478185376217775,0.004308242399989687,0.0012279321484513668,0.0010407721288127943,-0.0012877942744241378,-0.0010531118709963773,0.0011766461238786085,0.00583831879338597,-0.0009930801891905293,-0.005301421669527572,0.0007111269018897224,-0.00110069063167923,-0.0010386451623692315,0.0010886327134230988,-0.0013597943726114893,-0.0017664949952672494,0.0012229335122675,0.0012033685708935774,0.0011280021490158237,-0.004154979610958715,-0.0010979260298354097,0.005085361036128324,-0.006334910616674545,-0.0011023274445646496,-0.00118215144784667,0.0013515990073303225,0.006507208205278629,-0.0009940180108204272,-0.0013791526692854934,0.0011645995660316448,-0.0012812499018549166,-0.0007497372742938514,-0.0012109083528527439,0.0010826068328146008,0.0011510481549074395,0.0008321402241872911,-0.0011219781699458046,0.0013753085012601965,0.0012401169412386782,0.0011859837937657236,0.0006517893007585552
30/09/2008,-0.0016459851692609286,-0.0013425795590191834,0.0014540916559425765,0.002326292195763593,-0.0017262545013922799,-0.002717683228743192,0.0017841881942204708,-0.0016356543864110363,0.0013939053510404916,-0.003161179787295693,-0.001441736619628184,0.0015826813373042438,0.0026383968535226543,-0.002317752978258901,0.0024007186762616617,-0.0018669390292743962,-0.0014007735327426969,-0.0014019664331925688,0.0014654223584634966,-0.0018472656950221276,-0.002342878088823454,0.0016039936504064838,0.001510208857094484,0.0014619254608702259,-0.002065569332812236,-0.001409244059727359,-0.0020857257845320974,-0.003146987450046072,-0.002651038342427742,-0.0014002534330588784,0.00288068617232505,0.002991467562292528,-0.0011792981565098704,-0.001888011597689422,0.0015772471154947662,-0.0016180673476525655,0.0009480840705038985,0.0026909103674066094,0.002492842737436774,0.0015579827445850434,-0.0011854163560443343,0.0023746269334574592,0.0018611361060154974,0.0015568177608398421,0.0014393417704579683,0.0014852929378594022
31/10/2008,-0.0016437390246175985,0.0014336255783975196,0.0019769538645335307,0.00335342783722333,-0.0017953177756694814,-0.0020167231528320185,-0.002034261306980191,0.001473630716577568,0.0014644973393303936,-0.0018607490186545047,-0.0015021808128382198,0.0017041473373936064,0.0022911790295913064,-0.002305352746975225,0.00170976315232543,-0.0012701539497685396,-0.0016112585446123844,-0.0012398702004667859,0.0016614412254046158,0.0019746356578004736,-0.0026145009929820586,0.0018290712806903586,0.0017494195936565424,0.0023109151890459,-0.0018571709094941749,-0.0015272279363364144,-0.001563207938092432,0.002137487773256447,-0.001731847361141004,-0.0015452049553563686,-0.0030149772072682415,0.0028094639969008487,-0.0022063630876579,-0.002086017240618521,0.0018269807753521486,-0.002540199549535059,0.0015047346279330894,0.0017353578574473801,0.0014452665272613123,0.002070915256253351,0.0015742897077193779,-0.002405556760277889,-0.002204419085443445,0.0018032816042044095,0.0016377749412662794,-0.0009019613119467664
28/11/2008,-0.001505802138604263,0.001408300456989573,0.001831216650690717,0.0031832216944782223,0.0013936737064640463,0.0015253140665898723,-0.0020848416542111766,-0.001950684205362223,0.0014251069606540084,-0.002109017581181036,-0.0017446364249051583,0.0016719225361170734,0.0018935664653963596,-0.002421535106745868,0.0016243018327532091,-0.0014484118414338793,-0.0018031388149334759,-0.0017681873994663548,0.001620492193751869,0.0018456973408608247,-0.0030274931141829036,0.0017577045695526387,0.0017127375680390414,0.0020260582717957485,-0.001856432442931924,-0.0017713927331212324,-0.0016350445899412822,-0.0025623677466599876,-0.002011091469251739,-0.0016048954506227935,0.002214348353741178,0.0026557522015708277,-0.0022815331312052594,0.00175481282680833,0.0017962217900933108,-0.002599991913219693,0.0014269939573523362,0.0016335689040874945,-0.0018036377733671783,0.00196468323395009,-0.0020225853868689066,-0.002506611063532158,0.0017635974251157143,0.0017764063282020685,0.0015725615345106628,-0.0009589288878167253
31/12/2008,-0.0011885385776118627,0.0013256423285688342,-0.0015310497770115066,0.002148686828704955,-0.0011980687620253975,0.0009989427998287898,0.0010383700740260419,-0.002807484055347857,0.002676819571689474,-0.001839743823419311,-0.0025167593935116173,0.0031119761859118886,-0.00136985227006808,0.0012074665968261507,0.0010940149512142729,-0.0012600511079304334,0.0012551252586218981,-0.0018694214080222395,-0.0032295475682368644,0.0017082428320083249,-0.004320059210092348,0.0031469997966759667,0.0031827992541683513,0.0013537780153861246,-0.0011681439087533822,-0.001525821669805695,-0.001023470412496421,-0.0016055008051344493,0.0012906500915924866,-0.0012769146881528159,0.0014728184399106603,0.0017927258563310699,-0.0014508181875499087,-0.0034907449164544107,0.003372039841697273,-0.0016201153594265095,0.0009655862942782813,0.0015235831021404075,-0.001587803645399844,0.0013217245572340276,-0.0012600486082772096,0.0012417724081102825,0.003311889637479119,-0.0035051138831172723,0.0029366061471605394,-0.0008331888317197851
30/01/2009,-0.0013060387235286955,0.0021730683749322036,0.0015284535282247891,-0.003214616901360699,0.0011623444966207053,0.0012414363405547151,0.0013145094109308505,-0.002034964458657614,0.0022192957355903304,-0.0020172290520550458,-0.0019087043147509271,0.0025360706838683405,-0.0015755651960564347,-0.0017601855146278614,0.0012789746517996698,-0.0013489306764514345,-0.00178580097121025,-0.0014176383004666213,-0.0024268517830719526,0.0020551834165389695,-0.003370755515083883,0.0024057099985826474,0.0026394557585872804,-0.0022267697983360223,-0.0013354568447444914,-0.0017420185618979792,-0.0011638493459960348,-0.0018445972017933714,0.0016213569607487772,-0.0014284263408545377,0.001812381941336547,0.002217765649053383,-0.0016142194144196007,-0.0024872984798526535,-0.002651530883202234,-0.001858507858463446,0.001221881289027542,0.0019265632669558787,0.0015720265380405314,0.002127874974607506,0.0012263029015510821,0.0015599500433991676,0.0025848533253704864,0.002738800308836801,0.0023140012744070136,-0.0009583047326834221
27/02/2009,0.002072986032911107,0.00141427263322642,-0.0013116459303466207,-0.0021949405838774514,0.0009776711683750258,0.002190922594208205,0.0011231276597672125,-0.0013887858205136286,0.001426760610454764,-0.0033097958856205443,-0.0012925822266608925,0.0016476049545078,-0.0027809948680460558,-0.0013425489517371108,0.0019656011931168888,-0.0010391493077488182,-0.0013832994819334467,-0.0009286497958259801,0.0015924141917524135,0.003691688894723112,-0.002186651255161842,0.0014678570999473106,-0.0017959789920055215,-0.0015033866196976543,-0.0022813279407898294,-0.0030127762840127977,-0.0018515611642917799,-0.0030432272595627315,0.0029890841935041844,-0.0024449587343046268,0.0032987758132121624,0.004004749109750409,-0.001167049490722191,-0.0017004718525079575,0.0017396491477540226,-0.0014150592534806355,0.0010152677065900046,0.0016348032342956805,-0.0030144882981542444,0.0013789384654316992,-0.0010889308725628589,0.0013371883192028846,0.001685974405297773,0.0017901606869761308,0.0015074401512034667,0.0015253226033565403
31/03/2009,0.0010777101211723076,0.002393853420776046,0.0021240708502094983,-0.0025179944022853656,-0.0018846394021269748,0.0016814575738565444,0.00189442297897998,-0.0016097820867870484,0.0015808955077439917,-0.0016366547868209293,0.0013570593794366432,-0.0019886518057215573,-0.0021996425773071946,-0.002545263822904063,-0.0017677208429207768,-0.001133621586473189,0.0014637569047653589,-0.0018128286783093445,0.0017806701355287558,-0.002057954518490028,-0.0024660123775035532,0.0025161314192525775,0.0018926908074571123,-0.002668392107348362,0.001549913920458282,-0.0015050466665836137,-0.001534064950823408,-0.002536316482023134,0.0015564659504276827,-0.0012208767298512563,0.001710528741666177,0.003161758312025417,-0.0012911691758654249,-0.0019765226298735514,0.0019382678942573436,-0.0027512436724957414,-0.0020390178985236103,0.0018180276670371638,-0.0014938988769863607,0.0023528581966308065,0.001782489357798567,0.002282174404794893,0.001885394009399156,0.0020033180788773157,0.0016743452370135963,-0.0008409447915407311
30/04/2009,0.0010707692151924993,0.0025866050511202604,0.0022135953892025565,-0.002535849038133,-0.0021657007233603213,0.00176806776019061,0.0019779195308624277,-0.0014393966072421983,-0.0017182397882169278,-0.0013109814347320975,0.0012757998110721565,-0.0020012468579420077,-0.002428924507496913,0.002122804074582401,0.0014035714697212397,-0.0010878395299984242,0.001352056072181196,-0.0021821407566376926,0.0017996163116458914,0.0018308370981231328,-0.0022434541088401276,-0.001776849131253314,-0.001954916336322827,-0.0032296553185715174,-0.0020559726426911135,-0.0014710810669532476,-0.0014451755895219791,-0.00295279825415083,0.0015440737382193097,0.0010820062144263742,0.0015390059532465797,0.0029659013688924127,-0.0011825665301030568,0.001811929546888122,0.0019590281316764773,-0.003008696608791596,-0.002270066033560648,0.0017864597043407478,0.0011051803834943776,0.002500904638124654,0.0018471030992877888,0.002352658052798259,0.0018926280030400644,-0.002177975919785317,0.0016897402512356763,-0.0008387340852600608
